image_filename,predicted_label
28.jpeg,Bacteria
280.jpeg,Healthy
281.jpeg,Virus
282.jpeg,Fungi
283.jpeg,Phytopthora
284.jpeg,Phytopthora
285.jpeg,Virus
286.jpeg,Virus
287.jpeg,Virus
288.jpeg,Virus
289.jpeg,Pest
29.jpeg,Virus
290.jpeg,Virus
291.jpeg,Bacteria
292.jpeg,Phytopthora
293.jpeg,Fungi
294.jpeg,Virus
295.jpeg,Fungi
296.jpeg,Bacteria
297.jpeg,Fungi
298.jpeg,Fungi
299.jpeg,Virus
3.jpeg,Pest
30.jpeg,Bacteria
300.jpeg,Fungi
31.jpeg,Bacteria
32.jpeg,Bacteria
33.jpeg,Bacteria
34.jpeg,Bacteria
35.jpeg,Bacteria
36.jpeg,Bacteria
37.jpeg,Bacteria
38.jpeg,Bacteria
39.jpeg,Bacteria
4.jpeg,Fungi
40.jpeg,Bacteria
41.jpeg,Bacteria
42.jpeg,Bacteria
43.jpeg,Bacteria
44.jpeg,Bacteria
45.jpeg,Fungi
46.jpeg,Bacteria
47.jpeg,Bacteria
48.jpeg,Bacteria
49.jpeg,Bacteria
5.jpeg,Pest
50.jpeg,Bacteria
51.jpeg,Bacteria
52.jpeg,Bacteria
53.jpeg,Bacteria
54.jpeg,Virus
55.jpeg,Bacteria
56.jpeg,Phytopthora
57.jpeg,Bacteria
58.jpeg,Bacteria
59.jpeg,Bacteria
6.jpeg,Pest
60.jpeg,Bacteria
61.jpeg,Bacteria
62.jpeg,Bacteria
63.jpeg,Bacteria
64.jpeg,Bacteria
65.jpeg,Bacteria
66.jpeg,Bacteria
67.jpeg,Bacteria
68.jpeg,Bacteria
69.jpeg,Bacteria
7.jpeg,Healthy
70.jpeg,Bacteria
71.jpeg,Bacteria
72.jpeg,Bacteria
73.jpeg,Bacteria
74.jpeg,Bacteria
75.jpeg,Fungi
76.jpeg,Bacteria
77.jpeg,Virus
78.jpeg,Fungi
79.jpeg,Pest
8.jpeg,Virus
80.jpeg,Fungi
81.jpeg,Fungi
82.jpeg,Pest
83.jpeg,Pest
84.jpeg,Fungi
85.jpeg,Fungi
86.jpeg,Healthy
87.jpeg,Fungi
88.jpeg,Fungi
89.jpeg,Bacteria
9.jpeg,Pest
90.jpeg,Fungi
91.jpeg,Pest
92.jpeg,Pest
93.jpeg,Pest
94.jpeg,Fungi
95.jpeg,Fungi
96.jpeg,Fungi
97.jpeg,Fungi
98.jpeg,Fungi
99.jpeg,Fungi
